TTL,IP,RTT(prom),RTT Relativo,ZRTT,Fecha,Lugar
1,192.168.1.1,4.37887977151 ms,4.37887977151 ms,-0.37903289761414954,2014-07-14 22:54,*
2,190.245.25.1,115.919947624 ms,111.541067853 ms,1.6293350395584745,2014-07-14 22:54,Argentina
6,200.89.164.141,128.567194939 ms,12.6472473145 ms,-0.22407222945877223,2014-07-14 22:54,Argentina
7,200.89.165.150,161.224138737 ms,32.6569437981 ms,0.15093721715367023,2014-07-14 22:54,Argentina
8,195.22.220.130,166.559362411 ms,5.33522367477 ms,-0.361109687323246,2014-07-14 22:54,Italy
9,89.221.40.131,320.966267586 ms,154.406905174 ms,2.4327002452977204,2014-07-14 22:54,Italy
10,89.221.35.186,342.196452618 ms,21.2301850319 ms,-0.06321608022386131,2014-07-14 22:54,Italy
11,61.14.157.93,439.377403259 ms,97.1809506416 ms,1.360206539126165,2014-07-14 22:54,Japan
12,61.14.158.51,464.534175396 ms,25.1567721367 ms,0.010373604579877259,2014-07-14 22:54,Japan
13,61.14.158.61,450.034415722 ms,-14.4997596741 ms,-0.7328447676290969,2014-07-14 22:54,Japan
14,203.192.150.2,459.593868256 ms,9.55945253372 ms,-0.2819417834993423,2014-07-14 22:54,Asia/Pacific Region
15,180.145.255.130,467.424154282 ms,7.830286026 ms,-0.31434876057129946,2014-07-14 22:54,Japan:Osaka
16,180.145.253.94,488.308882713 ms,20.8847284317 ms,-0.06969041573293794,2014-07-14 22:54,Japan:Osaka
17,218.228.247.78,453.545117378 ms,-34.7637653351 ms,-1.11262032071214,2014-07-14 22:54,Japan
18,124.248.144.41,450.984311104 ms,-2.56080627441 ms,-0.5090922328908001,2014-07-14 22:54,Japan
19,124.248.144.205,552.246752907 ms,101.262441803 ms,1.4366993406558966,2014-07-14 22:54,Japan
20,210.134.52.222,485.796236992 ms,-66.4505159154 ms,-1.7064739461184018,2014-07-14 22:54,Japan
21,153.127.246.13,458.483612537 ms,-27.3126244545 ms,-0.9729756129298242,2014-07-14 22:54,Japan:Tokyo
22,153.127.247.190,467.461919785 ms,8.97830724716 ms,-0.2928332516679332,2014-07-14 22:54,Japan:Tokyo
